TIME_PERIOD,GDP,C,G,INV,EXP,IMP,CPI_energy,IP,IP_MFG,PV_C,RT,EMP,UNRATE,HE,ULC,IRST,IRLT,CPI,CPI_core,RHP,PIR,SP,NEER,COM,CA_GDP
1991-Q1,-0.2620696793617187,-0.5828442172939542,-1.1925703615676744,1.263885462202842,-0.7280208030708808,-0.3037264913613958,-0.0364374726558989,-0.9286231470245422,-1.4346954301910693,-1.8045562962584747,-0.2733937032316188,-0.0048890872715998,1.346754071548205,2.4837237936892356,2.084946158770489,-0.4185443365113611,-0.571488767361974,4.001765302997114,6.444751041728694,0.8805670740485018,1.4625992892910669,1.379887851544509,0.7136151264441425,4.001776208309232,-0.3747921873171901
1991-Q2,1.138414597006698,1.393194677443956,1.8786219262123776,-0.4401875412631605,0.1379556652603755,-0.6470863152561978,-2.1992960927311596,0.2742378459715972,0.5366334088338625,-0.3909668853809655,0.6576593726074447,0.693160651901672,0.0059743156651011,0.5970371197020401,-0.2837488394470943,-0.3988461730525414,-0.0918433546026688,-0.7505937529352046,0.6259039535945742,1.469235037002408,2.3704619232228064,-0.5476101522254672,0.659754583596462,-0.7506086057788742,0.2568466051849128
1991-Q3,-0.5758873659408524,-0.9157260565363288,-2.027908059074925,0.1072979196357198,-0.1222153221769662,0.4672137798731312,0.3882122610051851,-0.0230443302951664,0.1248409406749108,-0.5332280796411807,-1.3549670808912917,-0.4344400550466853,0.3456739633559607,-0.2190066571040397,0.8906968450174234,-0.1643396931530846,0.1270115438690585,0.4311142027485342,0.6312788904289214,-3.1323883609176217,-2.760224493501383,-0.158466054314202,0.1507181763448643,0.4311218002238476,-0.6331521225155033
1991-Q4,0.1993304909801944,0.4078481068929679,1.1310626874056866,0.4461561550244509,-0.0013798327087708,0.4007956757556743,0.5487056936287519,-0.6284745143670664,-0.7632809244024293,0.3154504285446805,-0.0491869874974418,0.0069805636774659,0.0121147663026403,0.1423121042435612,0.36158698285736,-0.2810336697107919,-0.7099197788921872,-0.21557161760854,0.2719012341167499,-0.5245900346376811,-0.7008426026731068,0.0590605936049329,0.1379133523348162,-0.2155576163906575,0.3172853135537283
1992-Q1,-0.0486458910421754,-0.1944822261261088,-0.4558544062164746,-0.55961318943936,0.1890774378548156,-0.1947458097360059,-0.0705338948383391,-0.0018105422418247,0.07586938942299,-3.0859005939941375,-0.1341448920429118,-0.0171283432392071,0.3319393760531386,0.7630959316820641,-0.1665716879104863,-0.1646585576074196,-0.1333782327071716,-0.3814821545463829,-0.0077791773534163,-0.8431162619667839,0.2349511614999201,-0.2061946068540583,-1.1050046847210204,-0.3815002948295358,-0.512243864184999
1992-Q2,0.2351560355655826,0.2512213431883489,-0.3937432435236335,-0.8504904206186464,0.080515331369687,-0.4546413943713441,-1.2823353704687526,0.4616337628902984,0.5959999293847991,-1.4324546532005995,0.5556415755035389,0.189781819462942,0.2799601684419198,0.2549459197552779,-0.241149641211943,-0.3223523426400995,0.0417606715965691,-1.112924091763244,-0.6937853136196712,0.2447642398436612,-0.149988024872581,-0.5528124325363424,-0.7226281999895127,-1.112919895759587,0.4252823928047852
1992-Q3,-0.2025666955605511,-0.2745278390999192,0.2626633454499076,1.4208051583811538,-0.1484759887113343,-0.0711623261152234,0.3831460715024916,-0.587687108755236,-0.3748380466251423,-0.4651157121813061,-0.6780195661691926,-0.2563523033914112,0.8073662323141989,-0.3695567009630126,-0.1600717842081525,-0.6524651081491302,-0.8066220886981809,0.1267380779310698,-0.1907220945737302,0.5892346617715127,-0.3894260764215132,0.7410725568776686,-0.7371034411279102,0.1267278990501817,-0.0742726190180401
1992-Q4,0.1921128382672327,0.1315608672153935,1.2191773433767723,-1.5783476029495025,0.0633679700605983,-0.1030209282697091,0.9061637485171958,0.7527698010083376,0.4653739253423892,-2.01889859515079,0.1798158440456156,0.2149569440067425,0.3377372338460117,0.0131550660993994,-0.6908272856497667,1.0654385726879143,0.385660585873456,0.841543165257186,0.5211638994884363,-0.3316590128514145,0.9555571514267854,-0.2501186980420107,-1.1340603720462192,0.8415550502397201,1.0887445127554514
1993-Q1,0.0333792975765605,0.0548004274115506,-1.8702041621640184,0.8741686059712559,0.4828496259169453,0.6898944137196916,-0.0634649127525362,0.6165330312717787,0.5587921241676499,-0.5403358904108755,0.1795970552324602,0.2613847165685004,-0.6375266928962084,0.805575241707043,-0.2569881505732295,-0.4604267718716426,-0.0329093786298408,0.1727903332737965,0.4804184329804198,-0.9225314291007,-0.7448444646574894,0.3963780765037815,0.6556084527025042,0.1728071827115156,-0.6039405164612675
1993-Q2,0.3471930143547078,0.0598830653969656,1.1404244133993091,1.0909609802942208,0.3085209249851097,0.1046587839033133,-1.282156053314051,0.4256222640399414,0.5800083419987206,0.0365505668168946,0.4899655747859213,-0.1069664219156887,0.3784171002037154,-0.372962216321681,-1.558442604929511,-0.6026599577289702,-0.2333736888464162,-1.673849121659141,-1.3282730253970805,-0.6200732594164968,-1.834805160330444,1.166958674135127,-0.7036722275367789,-1.6738797031675912,-0.4872351386253969
