Date,Revenue_R,Sales_R,Price_R,Revenue_C,Sales_C,Price_C,Revenue_I,Sales_I,Price_I,unemployment_rate,payroll_employment,coincident_index
1991-01-01,0.8327086956878036,0.7276255303871142,-0.25153236246138183,0.07698982200476723,0.45066219546488817,-0.7194498609288588,-0.09153733887030442,-0.012988473384813192,-0.03868550421389228,0.3245652783216912,-0.35736605212800726,-0.26973592396916246
1991-02-01,-0.521551231027268,-0.23705166313050458,-0.7824423986805384,0.002326900766873681,-0.22058689994913283,0.18602451524798083,0.25182013753095533,-0.48242655109424665,0.47820562801597616,0.3245652783216912,-0.7200517578550137,-0.297633415649375
1991-03-01,-0.0019426671048273878,-0.024513955748358143,0.017446133842482718,-0.3542431652503549,-0.8996987632182776,0.3830745798908991,0.07129768240391873,-0.5094031471810593,0.4303083207972085,0.16416964659294772,-0.09260997960415471,-0.1511715843282863
1991-04-01,-0.16786060181368595,-0.7028657579933832,1.4541063776753826,0.45975182337706466,1.2754335174545333,-0.80145862553782,-0.6326640511440086,0.19710844380066123,-0.5484123038531376,0.0037740148642057074,-0.2096139783599384,-0.053530363447547274
1991-05-01,1.3284868462750348,2.225748928564936,-3.4708878955890214,0.5166422001725801,0.9000487509689322,-0.4278569371454227,0.34511530619618624,-0.1919535039233122,0.3576213126145491,-0.15662161686453632,-0.25530884334323084,0.0301621115930706
1991-06-01,0.5953083865428729,0.6648605418619766,0.770961236714402,0.9480296867336441,1.1966432485617735,-1.5271447925822705,0.6881290088227623,0.8696515606954045,-0.014528376682821934,-0.15662161686453774,0.11052613497917682,0.07898272203344012
1991-07-01,-0.8613836823960197,-0.7846754527266353,0.6259334501036324,-1.3716471852874519,-2.065970116352382,2.1305918586179544,-0.3272137121457564,-0.24695095341475903,-0.20177427236965276,-0.15662161686453632,0.27487126368333387,0.10688021371364277
1991-08-01,-0.5327071994772873,-0.8594754172411193,0.06532206323987655,-0.22710157788934304,-0.13832606175952686,0.5482778985215607,0.08678000802936743,0.28768174232720456,-0.09351582726021247,-0.15662161686453632,-0.16890598762090633,0.05108523035322755
1991-09-01,0.34366798761630574,0.6725888980135982,-1.035561495289229,0.010707003443115377,0.39192958878989564,-1.3039023927539029,-0.18603576547073633,0.08560206329362328,-0.33870639025624205,0.0037740148642057074,0.08860752672544546,-0.004709753007187674
1991-10-01,-0.7720075350137781,-0.9491215454300307,0.4686646886478451,-0.34638312240518976,-0.8250780642645895,0.8111954789257773,-0.014097106436679876,-0.05983866825591398,0.04146854386043268,0.0037740148642057074,-0.16173934767051454,-0.04655599052750157
1991-11-01,-0.26204792417338196,-0.26481029844995085,0.5311980611408414,1.0261966472873225,1.5519957371165478,-0.9394524922007467,0.12615912342382724,0.44645288480480694,-0.15199844601234755,0.32456527832168974,0.05284348420355667,-0.2069665676887015
1991-12-01,0.3191468138003639,0.37880902055309956,-0.287494919685493,-1.1062386433964346,-1.5092076562244552,0.6698228622703432,-0.29587833838977623,-0.539399525934511,-0.09927612536455883,0.3245652783216912,-0.21664460046223447,-0.2488128052090055
1992-01-01,-0.3760291594080862,-0.5812084167553905,0.8073705965985337,-0.5299332072149802,-0.4451790758874108,-0.17560277646936517,0.004706684378458341,0.0468256459017921,0.09551183357302975,0.3245652783216912,0.164941170484184,-0.2069665676887015
1992-02-01,-0.13436355903617483,-0.037350478771602844,-0.09244994138913022,-0.0032412468294269487,0.21310118032955322,0.021280106049433093,-0.1729894692951139,0.6517298054774439,-1.4288498792930995,0.3245652783216912,0.05272800786010585,-0.21394094060874722
1992-03-01,0.4452664984889976,0.2234577820371023,-0.13520101280752642,0.30991624047132105,-0.14455331480530542,-0.4319169405084446,0.46478834393965796,-0.24654205094067294,1.277513236164303,0.16416964659294772,-0.03063301945735721,-0.13722283848817507
1992-04-01,-0.10756545518637521,0.15536495327682212,-1.0725023020031574,-0.17597902628049622,0.33346584875664126,-0.13512459675745014,-0.218689928117346,0.1799344028884207,-0.2062977574491852,0.3245652783216912,0.6101596399503973,-0.1441972114082307
1992-05-01,-0.007186661084179825,-0.09881232330959507,0.48307758279627944,-0.014442287934188693,-0.36367911426192945,1.0792769883205136,0.17330593795786342,0.10227424002730212,-0.08761220425153346,0.0037740148642057074,0.0615372175818233,-0.03260724468740024
