Date,Revenue_R,Sales_R,Price_R,Revenue_C,Sales_C,Price_C,Revenue_I,Sales_I,Price_I,unemployment_rate,payroll_employment,coincident_index
1991-01-01,1.0080340288377316,2.017049634149853,-3.0062520159551993,-0.6174379487478474,0.38589664615409014,-1.466642526804245,-0.020528718569026647,0.4663497033998461,-0.48346382008761635,0.0008946825698530969,-0.6582344431962234,-0.13250840586615117
1991-02-01,-3.0264989160431113,-3.5999424894685195,1.6163431042567675,-0.5644090906670147,-1.0963491671321974,1.0927408707241824,-0.22016816091884023,-0.6362025945656131,0.14526008609483962,0.19101472866363958,-0.11965843873829689,-0.14695398044435384
1991-03-01,1.7615614242469049,1.5113081403000326,0.44028381081331314,0.14449133245204257,0.1499726975443035,-0.18467759524083985,-0.36386858101243647,-0.1638674596747497,-0.19262091918291976,0.0008946825698530969,-0.3196285277076519,-0.11084004399884972
1991-04-01,1.2858759828208897,1.0663465512659247,0.1322463695814685,0.18707538387935868,0.3622051546279316,-0.10828347267642476,-0.01569170185149298,-0.16508874803689247,0.02319373419255167,0.0008946825698530969,-0.42013480699698696,-0.11084004399884972
1991-05-01,-0.6983222682719185,-0.3826953853239662,-0.24717810467169085,0.3986560228564344,0.24775548465793706,0.25864909340580733,-0.1904628012936545,-1.0368523964223775,0.5165370429235924,0.19101472866364128,-0.14967311374736444,-0.15417676773345262
1991-06-01,0.5848881188769447,0.32710506615933427,0.49245906175266035,-1.535223096571307,-2.117748638865992,0.4260399847432966,-0.2942205933607182,0.18017122258841536,-0.4141694858258998,0.19101472866363958,0.27089446348797874,-0.13250840586615117
1991-07-01,-1.5642942697405744,-1.4930986830600814,0.09881584226099727,0.30740681354558697,0.5266639579339685,-0.3196768354249792,-0.06269162709474294,0.20096014246196475,-0.24227675855733288,0.19101472866363958,-0.10965730739075084,-0.1613995550225514
1991-08-01,0.3480704619656366,0.2574346017813913,-0.011727721628878527,0.939759651345122,1.267159562347797,-0.3182143863822963,-0.7946515286873934,-0.13264110666196902,-0.5033183914245704,0.19101472866364128,0.040125430579456986,-0.14695398044435384
1991-09-01,-0.03772523375152836,0.015169566668221527,-0.18996384087937215,-0.5457514466338255,-0.321293827516801,-0.1607539611127413,0.7243452116796232,0.19035408620466285,0.38269739681674797,0.38113477475742774,0.02990176399617869,-0.22640464062445576
1991-10-01,-1.0298794503082882,-0.9020803550437065,-0.2690853049553395,0.9277412939399864,0.6154839259335949,-0.01549669845106775,0.19309518665725076,0.6536893688698167,-0.02836389713090984,0.3811347747574261,0.4271646265954585,-0.19029070417895164
1991-11-01,0.5562494044485246,0.693054928907342,0.09108034909862342,-0.7293723683879391,-0.7911606485368744,0.7362322269757068,-0.382957089637292,-0.6851075965221944,-0.15751105356766473,0.38113477475742774,-0.5470893852625109,-0.2841869389372562
1991-12-01,-1.3252217289256858,-1.3000408190535662,-0.48393062844763096,-0.6790820083716121,0.07560829705118435,-1.648354005838681,-0.04830649320287017,0.38471660022533816,-0.06913423702386272,0.38113477475742774,-0.050091165958325835,-0.22640464062445576
1992-01-01,0.8515698219837793,0.8923624568682339,0.2299987629827749,0.11157403119612518,-0.4040905406630927,0.8672571242136909,0.03843082150335485,-0.6273669960678762,0.1122595732861132,0.38113477475742774,0.27742495164785835,-0.20473627875714917
1992-02-01,-1.378653739596274,-1.594577909044596,0.1785375014251761,-0.32115440550733837,-0.034104279064429824,-0.24163118610318948,0.02221910929668726,0.43683624829871764,-0.5463774634470691,0.19101472866363958,-0.010832024898815462,-0.16139955502255654
